"","Exports (% of gdp)","female employment rate (%)","foreign investment (% of gdp)","gnipercapita ppp (USD)","cell phones (per 100 people)","c02 emmissions per person (tonnes)","electricity use per person","children per women","dtp3 immunization (% of 1 year olds)","newborn mortality rate (per 1000)","Group"
"albania",28.2,36.5,8.69,11400,116,1.9,2310,1.71,98,6.5,"UM"
"algeria",30.5,12.9,0.703,12800,112,3.68,1370,2.89,95,15.6,"UM"
"angola",44.7,70.2,2.69,7630,51.8,1.64,310,5.84,55,49.6,"UM"
"argentina",14.4,43.4,0.962,19300,143,4.56,3070,2.32,94,6.5,"H"
"armenia",28.6,39.9,3.5,10600,120,1.91,1980,1.69,93,7.7,"LM"
"australia",21.1,55.1,4.3,45700,107,16.7,10100,1.87,92,2.3,"H"
"austria",53.4,51.6,0.387,48900,152,7.49,8360,1.48,98,2.2,"H"
"azerbaijan",43.3,58.3,5.89,16900,108,3.88,2200,2.09,94,18.9,"UM"
"bahrain",96.1,41.8,4.55,49500,178,23.3,20000,2.07,98,1.1,"H"
"bangladesh",19,29.5,1.47,4220,81.3,0.427,317,2.16,97,24.2,"LM"
"belarus",54.9,56,2.36,18400,118,6.77,3690,1.67,97,1.9,"UM"
"benin",31.4,66.4,3.05,2730,81.6,0.508,97.1,5.12,74,32.2,"L"
"bolivia",43.3,59.1,1.99,6560,95.7,1.87,728,2.97,85,20.1,"LM"
"bosnia and herzegovina",34,25.1,2.94,11200,97.8,5.55,3360,1.33,86,4.2,"UM"
"botswana",61.3,51.2,3.33,13900,151,3.28,1680,2.81,95,22.4,"UM"
"brazil",11,48.5,3.57,15400,138,2.59,2610,1.75,93,9.6,"UM"
"brunei",68.2,53.3,3.36,80000,108,21.8,10100,1.89,99,4.3,"H"
"bulgaria",64.6,43.6,1.91,17500,129,6.23,4710,1.53,88,5.9,"UM"
"cambodia",62.6,74.3,11.1,3020,134,0.427,273,2.63,91,15.7,"L"
"cameroon",23.6,68.2,1.99,3340,76.4,0.293,280,4.85,83,26.1,"LM"
"canada",31.7,57.3,3.55,45000,81.3,16.2,15600,1.6,91,3.3,"H"
"chile",33,46.5,9.84,21800,134,4.36,3900,1.8,95,5.1,"H"
"china",23.5,60.4,2.56,12500,92.8,7.02,3910,1.61,99,5.9,"UM"
"colombia",16.6,51.5,4.24,13000,119,1.83,1320,1.9,90,8.8,"UM"
"congo, dem. rep.",36.8,58.9,4.18,750,48.8,0.0628,105,6.24,68,30.6,"L"
"congo, rep.",53.1,60.4,16.1,5600,99.7,0.656,194,4.78,90,18.6,"LM"
"costa rica",31.4,43.8,6.23,15300,145,1.6,1920,1.82,91,6.3,"UM"
"cote d'ivoire",28.2,42.6,0.9,4180,96.1,0.43,271,5.03,73,38.6,"LM"
"croatia",42.6,37.7,5.36,22100,104,4.16,3710,1.49,95,2.7,"H"
"cyprus",66.2,49.1,223,29400,131,6.01,3550,1.36,99,1.5,"H"
"czech republic",82,47.2,3.86,30300,132,9.83,6260,1.51,97,1.9,"H"
"denmark",54.6,52.9,1.86,49600,127,6.63,5860,1.83,94,2.6,"H"
"dominican republic",25.2,42.2,3.55,12700,80.8,2.12,1600,2.48,91,22.1,"UM"
"ecuador",28.1,46.5,0.759,11500,104,2.85,1380,2.54,83,11.1,"UM"
"egypt",14.2,17.9,1.51,10100,99.7,2.47,1590,3.34,94,13.3,"LM"
"el salvador",29.6,44.7,2.24,7000,148,0.981,950,2.13,94,8.6,"LM"
"estonia",81.9,50.9,6.69,28100,144,14.4,6730,1.61,93,1.7,"H"
"ethiopia",11.6,71.2,3.34,1480,30.6,0.121,68.1,4.44,61,28.5,"L"
"finland",36.5,51.1,6.38,42200,139,8.73,15200,1.83,98,1.3,"H"
"france",29.7,45.7,0.203,41000,103,5.23,6940,1.98,98,2.3,"H"
"gabon",44.5,29.9,6.94,14000,149,2.82,1120,3.91,70,23.8,"UM"
"georgia",39.9,49.5,10.4,11400,143,2.18,2690,2,91,7.6,"LM"
"germany",45.6,51.8,0.502,48000,122,9.74,7040,1.44,93,2.2,"H"
"ghana",28.2,60.1,6.14,5100,108,0.542,339,4.1,98,29,"LM"
"greece",32.5,30.9,1.15,26800,112,7.36,5060,1.33,99,3,"H"
"guatemala",21.7,39.5,2.43,7560,108,0.852,601,3.09,73,13.8,"LM"
"haiti",11,51.9,0.654,3020,65,0.264,39.6,3.03,63,26,"L"
"honduras",47.6,43.5,8.63,4020,84.6,1.04,608,2.56,98,11.4,"LM"
"hungary",87.1,42.6,9.26,24500,119,4.48,3970,1.35,99,3.6,"H"
"iceland",51.5,68.7,4.29,43500,113,10.5,53800,1.96,90,1,"H"
"india",23,20.9,1.7,5130,72.2,1.7,797,2.38,85,28.6,"LM"
"indonesia",23.7,48.7,2.82,9890,127,1.44,808,2.41,88,14,"LM"
"iran",22.8,10.7,0.457,15800,86.2,8.29,2930,1.71,99,9.8,"UM"
"ireland",110,49.3,37.5,43300,106,7.93,5670,1.99,96,2.3,"H"
"israel",31.9,55.5,1.92,34500,121,7.88,6600,3.02,95,2.2,"H"
"italy",29.1,34.3,0.788,36200,149,5.77,5000,1.45,95,2.1,"H"
"jamaica",31.3,46.6,4.19,8630,108,2.54,1080,2.05,92,12,"UM"
"japan",17.4,47.8,0.403,41000,124,9.88,7820,1.43,96,1,"H"
"jordan",42.1,11.1,5.91,9350,128,2.91,1920,3.51,98,11,"UM"
"kazakhstan",39.3,61.8,3.3,22200,163,14.8,5600,2.68,95,7.5,"UM"
"kenya",16.5,68,1.2,3040,73.4,0.295,167,3.99,92,22.9,"LM"
"kuwait",68.5,46.7,0.299,75400,202,23.8,15300,2.01,95,3.4,"H"
"kyrgyz republic",37.4,45.6,4.59,4100,130,1.73,1940,3.08,96,12.1,"LM"
"latvia",61.2,48,3.33,23900,119,3.56,3510,1.52,92,5.4,"H"
"lebanon",23.8,20.2,5.95,14800,69.9,3.79,2580,1.71,83,5,"UM"
"libya",32.2,25.6,0,21000,139,9.23,1890,2.35,94,7.5,"UM"
"lithuania",72.3,49.1,0.736,27900,142,4.34,3820,1.62,93,2.6,"H"
"luxembourg",183,49,29.2,76500,144,17.7,13900,1.56,99,1,"H"
"malaysia",73.8,48.5,3.14,23200,147,8.08,4540,2.07,97,4,"UM"
"malta",150,39.6,1.34,32600,122,5.64,4920,1.43,99,4.4,"H"
"mauritius",52.5,39.8,3.48,19400,128,3.35,2180,1.46,97,8.7,"UM"
"mexico",31.5,41.4,2.08,18500,88.4,4,2190,2.24,87,7.4,"UM"
"moldova",31.5,37.1,3.68,9490,112,1.16,1730,1.26,90,12.1,"LM"
"mongolia",52.2,51.6,2.76,10300,104,10.1,2030,2.81,99,11.7,"UM"
